antecedents,consequents,support,confidence,lift
HAND WARMER OWL DESIGN,HAND WARMER BIRD DESIGN,0.02171980185443922,0.5099403578528826,13.79642761984792
HAND WARMER BIRD DESIGN,HAND WARMER OWL DESIGN,0.02171980185443922,0.5876288659793814,13.79642761984792
HAND WARMER SCOTTY DOG DESIGN,HAND WARMER OWL DESIGN,0.02260891655023498,0.5868131868131868,13.77727699735652
HAND WARMER OWL DESIGN,HAND WARMER SCOTTY DOG DESIGN,0.02260891655023498,0.5308151093439363,13.777276997356518
PINK CREAM FELT CRAFT TRINKET BOX,PINK BLUE FELT CRAFT TRINKET BOX,0.022947626910538126,0.4692640692640693,12.008177737755203
PINK BLUE FELT CRAFT TRINKET BOX,PINK CREAM FELT CRAFT TRINKET BOX,0.022947626910538126,0.5872156013001083,12.0081777377552
STRAWBERRY CERAMIC TRINKET BOX,SWEETHEART CERAMIC TRINKET BOX,0.03200812904864728,0.4745762711864407,10.330891197375616
SWEETHEART CERAMIC TRINKET BOX,STRAWBERRY CERAMIC TRINKET BOX,0.03200812904864728,0.6967741935483871,10.330891197375616
VINTAGE HEADS AND TAILS CARD GAME,VINTAGE SNAP CARDS,0.023455692450992844,0.596340150699677,10.280991255018739
VINTAGE SNAP CARDS,VINTAGE HEADS AND TAILS CARD GAME,0.023455692450992844,0.4043795620437956,10.280991255018739
LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,0.024006096786485458,0.5625,9.989238721804512
LUNCH BAG RED RETROSPOT,LUNCH BAG PINK POLKADOT,0.024006096786485458,0.42631578947368426,9.989238721804512
COOK WITH WINE METAL SIGN,GIN + TONIC DIET METAL SIGN,0.023328676065879166,0.4932855863921218,8.799782677489066
GIN + TONIC DIET METAL SIGN,COOK WITH WINE METAL SIGN,0.023328676065879166,0.4161631419939577,8.799782677489066
HOT WATER BOTTLE TEA AND SYMPATHY,CHOCOLATE HOT WATER BOTTLE,0.025064566662432786,0.4995780590717299,8.799056060563155
