Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Cluster,RuleSegment,Segment,PCA1,PCA2,ChurnProbability,ChurnPrediction,RecommendedAction
12346,326,3,77352.96,2,3,5,1,At Risk,VIP,1.551151688304512,1.6420109153266766,0.49534004230307827,0.0,"Court: white-glove service, early access, loyalty rewards"
12347,2,8,5633.32,5,4,5,1,VIP,VIP,1.7683683140179636,-0.08851320919986568,0.06128671148172481,0.0,"Court: white-glove service, early access, loyalty rewards"
12348,75,5,1658.3999999999999,3,4,4,4,Loyal Customer,Loyal Customer,0.7435190322184608,-0.2692653001557753,0.21493686833656278,0.0,"Court: upsell/cross-sell, referral incentives"
12349,19,3,3678.69,5,3,5,4,Loyal Customer,Loyal Customer,0.9166039053756494,-0.45296831375112645,0.3396569986013487,0.0,"Court: upsell/cross-sell, referral incentives"
12350,310,1,294.4,2,1,2,0,One-Time Buyer,Lost / Let Go,-1.4159811105796045,-0.18137218709553218,0.7603569504311619,1.0,"Let go: exclude from paid marketing spend, low-cost win-back only"
12351,375,1,300.93,2,1,2,0,One-Time Buyer,Lost / Let Go,-1.5582298094719107,0.09649339941011298,0.7466786800804683,1.0,"Let go: exclude from paid marketing spend, low-cost win-back only"
12352,36,9,1729.54,4,5,4,4,VIP,Loyal Customer,1.2456827338809933,-0.2183142536734093,0.2799128208883774,0.0,"Court: upsell/cross-sell, referral incentives"
12353,204,2,406.76,2,2,2,2,Lost / Let Go,One-Time Buyer,-0.7136228331974215,-0.3781411393538462,0.5870264266733033,1.0,"Convert: post-purchase follow-up, incentivize 2nd order"
12354,232,1,1079.4,2,1,3,2,One-Time Buyer,One-Time Buyer,-0.6578639588896397,-0.16291763393516798,0.5863978156527239,1.0,"Convert: post-purchase follow-up, incentivize 2nd order"
12355,214,2,947.61,2,2,3,3,Needs Attention,At Risk,-0.3621172072689834,-0.1117132345351439,0.6348636430647677,1.0,"Win back: targeted discount, re-engagement email flow"
12356,23,6,5611.73,4,4,5,4,VIP,Loyal Customer,1.5245421103222068,-0.10152039138496928,0.09986735601003671,0.0,"Court: upsell/cross-sell, referral incentives"
12357,33,2,17437.66,4,2,5,4,New Customer,Loyal Customer,1.3537272449792324,-0.09487367631815395,0.3148006657920298,0.0,"Court: upsell/cross-sell, referral incentives"
12358,2,5,3447.07,5,4,5,4,VIP,Loyal Customer,1.2389066246610445,-0.38026971708652935,0.34994303087574924,0.0,"Court: upsell/cross-sell, referral incentives"
12359,58,10,8873.39,4,5,5,1,VIP,VIP,1.9932907453469926,0.3464541782290148,0.05732656074705937,0.0,"Court: white-glove service, early access, loyalty rewards"
12360,52,6,3612.89,4,4,5,4,VIP,Loyal Customer,1.261270769137891,-0.09724372344759151,0.14728445909219484,0.0,"Court: upsell/cross-sell, referral incentives"
12361,287,4,451.25,2,3,2,3,At Risk,At Risk,-0.46932893980568324,0.19980561026916477,0.6156906648900533,1.0,"Win back: targeted discount, re-engagement email flow"
12362,3,10,4737.23,5,5,5,1,VIP,VIP,1.8432525293797715,-0.050647509333108284,0.29351306136463073,0.0,"Court: white-glove service, early access, loyalty rewards"
12363,110,2,552.0,3,2,2,2,Needs Attention,One-Time Buyer,-0.3585901310941145,-0.6905278402220036,0.34937648519087894,0.0,"Convert: post-purchase follow-up, incentivize 2nd order"
12364,8,4,1208.1,5,3,3,4,Loyal Customer,Loyal Customer,0.6195515402185356,-0.7063501341759335,,,"Court: upsell/cross-sell, referral incentives"
12365,291,1,320.69,2,1,2,2,One-Time Buyer,One-Time Buyer,-1.3337078122018347,-0.2382173427107809,0.5942210268289236,1.0,"Convert: post-purchase follow-up, incentivize 2nd order"
12366,634,1,500.24,1,1,2,0,One-Time Buyer,Lost / Let Go,-1.938656701368441,1.3153315314671292,0.8012074577546451,1.0,"Let go: exclude from paid marketing spend, low-cost win-back only"
12367,4,1,150.9,5,1,1,2,One-Time Buyer,One-Time Buyer,-0.9959277055572119,-1.6390065950552135,,,"Convert: post-purchase follow-up, incentivize 2nd order"
12368,628,1,917.6999999999999,1,1,3,0,One-Time Buyer,Lost / Let Go,-1.6556173102976217,1.4513712676149817,0.8762819924714566,1.0,"Let go: exclude from paid marketing spend, low-cost win-back only"
12369,413,3,1511.15,1,3,4,3,At Risk,At Risk,-0.3993420444463448,0.9595355873320321,0.5292339391648644,1.0,"Win back: targeted discount, re-engagement email flow"
12370,51,7,3956.56,4,4,5,4,VIP,Loyal Customer,1.4065053128495215,-0.024197539078472833,0.1298158678616151,0.0,"Court: upsell/cross-sell, referral incentives"
12371,60,4,3347.38,3,3,5,4,Loyal Customer,Loyal Customer,0.9502518335569039,-0.21778032957479065,0.4228139469304731,0.0,"Court: upsell/cross-sell, referral incentives"
12372,72,3,1196.04,3,3,3,4,Loyal Customer,Loyal Customer,0.2940910563651341,-0.5298351255573622,0.23802517538300716,0.0,"Court: upsell/cross-sell, referral incentives"
12373,311,3,927.6500000000001,2,3,3,3,At Risk,At Risk,-0.3773649371505624,0.40294515791858176,0.5965123719875323,1.0,"Win back: targeted discount, re-engagement email flow"
12374,25,3,2669.22,4,3,4,4,Loyal Customer,Loyal Customer,0.7601984191704145,-0.5131479926042755,0.3493365917605369,0.0,"Court: upsell/cross-sell, referral incentives"
12375,11,2,377.5,5,2,2,2,New Customer,One-Time Buyer,-0.29548987336828286,-1.2057259169134245,,,"Convert: post-purchase follow-up, incentivize 2nd order"
12376,390,2,383.15,2,2,2,3,Lost / Let Go,At Risk,-1.1749362695003174,0.3844754786196464,0.7319634781802745,1.0,"Win back: targeted discount, re-engagement email flow"
12377,315,4,3266.32,2,3,5,3,At Risk,At Risk,0.3432323747259996,0.8429741301557103,0.38832757523771455,0.0,"Win back: targeted discount, re-engagement email flow"
12378,130,2,5416.32,3,2,5,4,Needs Attention,Loyal Customer,0.6078773903649465,0.00015148222490099256,0.5573107099472655,1.0,"Court: upsell/cross-sell, referral incentives"
12379,82,4,1470.22,3,3,4,4,Loyal Customer,Loyal Customer,0.5336756849151385,-0.34444181612203023,0.5384362914971463,1.0,"Court: upsell/cross-sell, referral incentives"
