Customer ID,Month,Revenue,Orders
12346,2010-03,27.05,1
12346,2010-06,142.31,1
12346,2011-01,77183.6,1
12347,2010-10,611.53,1
12347,2010-12,1423.58,1
12347,2011-01,475.39,1
12347,2011-04,636.25,1
12347,2011-06,382.52,1
12347,2011-08,584.9100000000001,1
12347,2011-10,1294.32,1
12347,2011-12,224.82,1
12348,2010-09,221.16,1
12348,2010-12,652.8,1
12348,2011-01,187.44,1
12348,2011-04,327.0,1
12348,2011-09,270.0,1
12349,2010-04,1068.52,1
12349,2010-10,1152.62,1
12349,2011-11,1457.55,1
12350,2011-02,294.4,1
12351,2010-11,300.93,1
12352,2010-11,343.8,2
12352,2011-02,296.5,1
12352,2011-03,345.01,3
12352,2011-09,512.5,2
12352,2011-11,231.73,1
12353,2010-10,317.76,1
12353,2011-05,89.0,1
12354,2011-04,1079.4,1
12355,2010-05,488.21000000000004,1
12355,2011-05,459.4,1
12356,2010-10,798.44,1
12356,2010-11,2325.86,2
12356,2011-01,1947.62,1
12356,2011-04,481.46000000000004,1
12356,2011-11,58.349999999999994,1
12357,2010-11,11229.99,1
12357,2011-11,6207.67,1
12358,2009-12,1429.83,1
12358,2010-06,268.1,1
12358,2010-11,821.08,1
12358,2011-07,404.86,1
12358,2011-12,523.2,1
12359,2009-12,838.89,2
12359,2010-03,683.34,2
12359,2010-06,489.8,1
12359,2010-10,551.33,1
12359,2011-01,547.5,1
12359,2011-02,1838.9099999999999,1
12359,2011-06,1109.32,1
12359,2011-10,2814.3,1
12360,2010-02,118.00000000000001,1
12360,2010-05,502.03999999999996,1
12360,2010-11,690.79,1
12360,2011-05,923.5799999999999,1
12360,2011-08,454.7,1
12360,2011-10,923.78,1
12361,2010-01,94.19999999999999,1
12361,2010-05,83.15,1
12361,2010-09,99.0,1
12361,2011-02,174.9,1
12362,2011-02,434.09999999999997,1
12362,2011-04,450.24,1
12362,2011-07,273.76,1
12362,2011-08,424.25,1
12362,2011-09,769.99,1
12362,2011-10,1491.91,3
12362,2011-11,417.94,1
12362,2011-12,475.04,1
12363,2011-04,299.1,1
12363,2011-08,252.9,1
12364,2011-08,578.92,1
12364,2011-09,64.8,1
12364,2011-10,269.06,1
12364,2011-12,295.32,1
12365,2011-02,320.69,1
12366,2010-03,500.24,1
12367,2011-12,150.9,1
12368,2010-03,917.6999999999999,1
12369,2010-03,308.32,1
12369,2010-09,1059.48,1
12369,2010-10,143.35,1
12370,2010-02,402.96,1
12370,2010-03,131.66,2
12370,2010-12,1744.27,2
12370,2011-03,938.39,1
12370,2011-10,739.28,1
12371,2010-03,487.68,2
12371,2010-10,1331.74,1
12371,2011-10,1527.96,1
12372,2011-02,363.22,1
12372,2011-05,479.7,1
12372,2011-09,353.12,1
12373,2010-02,357.90000000000003,1
12373,2010-03,245.15,1
12373,2011-02,324.6,1
12374,2010-04,1388.54,1
12374,2010-10,657.75,1
12374,2011-11,622.93,1
12375,2011-09,190.3,1
12375,2011-11,187.20000000000002,1
12376,2010-10,352.55,1
12376,2010-11,30.599999999999998,1
12377,2010-04,1210.96,1
12377,2010-11,507.24,1
12377,2010-12,1001.52,1
12377,2011-01,546.6,1
12378,2010-05,1407.7,1
12378,2011-08,4008.62,1
12379,2010-06,322.48,1
12379,2010-10,370.5,1
12379,2011-06,414.84,1
12379,2011-09,362.40000000000003,1
12380,2010-02,1508.65,1
12380,2010-06,2212.35,2
12380,2010-08,1061.84,1
